route_id,name,description,key_ports,chokepoints,alternate_route,avg_transit_days,alternate_transit_days,annual_trade_value_billion_usd,primary_commodities,disruption_impact,landmark_events
R001,Asia-Europe Main Line (via Suez),Primary trade route connecting East Asia to Northern Europe via Suez Canal,"['P001', 'P002', 'P006', 'P020', 'P021', 'P022', 'P023']","['P047', 'P045']",R002,28,42,600,"['electronics', 'textiles', 'machinery', 'consumer_goods', 'chemicals']",critical,"['2021 Suez blockage', '2023-2024 Red Sea crisis']"
R002,Asia-Europe via Cape of Good Hope,Alternative Asia-Europe route bypassing Suez via southern Africa,"['P001', 'P002', 'P039', 'P040', 'P021', 'P022']",['P046'],R001,42,28,0,['all'],low,['2024 Red Sea diversion — thousands of vessels rerouted here']
R003,Transpacific Eastbound (Asia-North America West Coast),Highest volume route connecting East Asia to US West Coast,"['P001', 'P003', 'P006', 'P007', 'P029', 'P030', 'P031']",['P047'],R004,14,28,700,"['electronics', 'consumer_goods', 'machinery', 'textiles', 'automobiles']",critical,"['2021-2022 LA/Long Beach port congestion', 'COVID-19 container shortage']"
R004,Asia-North America East Coast (via Panama),Asia to US East Coast via Panama Canal,"['P001', 'P002', 'P049', 'P032', 'P033']",['P049'],R003,24,35,300,"['consumer_goods', 'electronics', 'agricultural', 'chemicals']",critical,['2024 Panama Canal drought — capacity reduced 36%']
R005,Intra-Asia Regional Route,Short-sea shipping connecting East and Southeast Asian ports,"['P001', 'P004', 'P006', 'P007', 'P002', 'P010', 'P012']",['P047'],R006,5,9,400,"['electronics', 'semiconductors', 'consumer_goods', 'chemicals']",high,"['2022 Taiwan Strait tensions', 'COVID Shanghai lockdown 2022']"
R006,Asia-Middle East-India Route,Connecting East Asia to Middle East and South Asia,"['P001', 'P002', 'P016', 'P014', 'P017', 'P019']",['P047'],R001,18,25,250,"['oil', 'electronics', 'textiles', 'machinery', 'consumer_goods']",high,['2023-2024 Red Sea Houthi attacks']
R007,Europe-North America North Atlantic Route,Connecting Northern Europe to US East Coast,"['P021', 'P022', 'P023', 'P024', 'P032', 'P033']",[],R008,10,14,200,"['machinery', 'automobiles', 'chemicals', 'consumer_goods']",medium,['2022 Russia-Ukraine war — Black Sea trade impact']
R008,Middle East-Europe Red Sea Route,Oil and goods from Middle East to Europe via Red Sea and Suez,"['P017', 'P019', 'P020', 'P045', 'P021', 'P022']",['P045'],R009,12,26,400,"['oil', 'petrochemicals', 'consumer_goods', 'food']",critical,['2023-2024 Houthi attacks — 12% of world trade diverted']
R009,Africa Coastal Route,Connecting African ports — also serves as Europe-Asia bypass,"['P039', 'P040', 'P041', 'P046']",[],R001,20,28,80,"['minerals', 'agricultural', 'oil', 'consumer_goods']",medium,['2024 — surge in vessels rerouting around Africa due to Red Sea crisis']
R010,Transpacific Westbound (North America-Asia),US agricultural and commodity exports to Asia,"['P029', 'P030', 'P035', 'P001', 'P006', 'P007']",['P047'],R004,16,30,200,"['agricultural', 'lumber', 'chemicals', 'machinery']",high,['2018-2019 US-China trade war tariff impacts']
