port_id,name,country,country_code,lat,lon,region,annual_teu_millions,port_type,commodities,strategic_importance,alternate_ports
P001,Port of Shanghai,China,CHN,31.2304,121.4737,East Asia,47.3,mega_hub,"['electronics', 'textiles', 'machinery', 'consumer_goods', 'chemicals']",critical,"['P002', 'P004', 'P006']"
P002,Port of Singapore,Singapore,SGP,1.2897,103.8501,Southeast Asia,37.5,mega_hub,"['electronics', 'oil', 'chemicals', 'machinery', 'consumer_goods']",critical,"['P011', 'P012', 'P013']"
P003,Port of Ningbo-Zhoushan,China,CHN,29.8683,121.544,East Asia,33.4,mega_hub,"['electronics', 'machinery', 'chemicals', 'steel', 'textiles']",critical,"['P001', 'P004', 'P006']"
P004,Port of Shenzhen,China,CHN,22.5431,114.0579,East Asia,28.8,mega_hub,"['electronics', 'semiconductors', 'consumer_goods', 'textiles']",critical,"['P005', 'P001', 'P002']"
P005,Port of Guangzhou,China,CHN,23.1291,113.2644,East Asia,24.6,major_hub,"['consumer_goods', 'electronics', 'textiles', 'machinery']",high,"['P004', 'P001', 'P002']"
P006,Port of Busan,South Korea,KOR,35.1796,129.0756,East Asia,22.7,mega_hub,"['electronics', 'automobiles', 'steel', 'machinery', 'chemicals']",critical,"['P007', 'P001', 'P002']"
P007,Port of Tokyo-Yokohama,Japan,JPN,35.4437,139.638,East Asia,18.3,major_hub,"['automobiles', 'electronics', 'machinery', 'chemicals']",high,"['P008', 'P006', 'P002']"
P008,Port of Osaka-Kobe,Japan,JPN,34.6937,135.5023,East Asia,14.2,major_hub,"['automobiles', 'machinery', 'electronics', 'steel']",high,"['P007', 'P006', 'P002']"
P009,Port of Tanjung Pelepas,Malaysia,MYS,1.3667,103.55,Southeast Asia,11.0,major_hub,"['palm_oil', 'electronics', 'rubber', 'timber', 'consumer_goods']",high,"['P002', 'P010', 'P013']"
P010,Port Klang,Malaysia,MYS,3.0,101.4,Southeast Asia,13.7,major_hub,"['palm_oil', 'electronics', 'rubber', 'consumer_goods']",high,"['P002', 'P009', 'P013']"
P011,Port of Ho Chi Minh,Vietnam,VNM,10.7769,106.7009,Southeast Asia,8.1,regional_hub,"['textiles', 'electronics', 'footwear', 'furniture', 'agricultural']",medium,"['P002', 'P012', 'P010']"
P012,Port of Laem Chabang,Thailand,THA,13.0783,100.88,Southeast Asia,8.8,regional_hub,"['automobiles', 'electronics', 'agricultural', 'chemicals', 'textiles']",medium,"['P002', 'P010', 'P011']"
P013,Port of Jakarta (Tanjung Priok),Indonesia,IDN,-6.1,106.88,Southeast Asia,7.6,regional_hub,"['palm_oil', 'coal', 'agricultural', 'consumer_goods', 'textiles']",medium,"['P002', 'P010', 'P009']"
P014,Port of Mumbai (JNPT),India,IND,18.9322,72.9781,South Asia,6.1,major_hub,"['textiles', 'pharmaceuticals', 'machinery', 'chemicals', 'agricultural']",high,"['P015', 'P016', 'P002']"
P015,Port of Mundra,India,IND,22.8397,69.7103,South Asia,6.8,major_hub,"['coal', 'fertilizers', 'agricultural', 'chemicals', 'consumer_goods']",high,"['P014', 'P016', 'P017']"
P016,Port of Colombo,Sri Lanka,LKA,6.9271,79.8612,South Asia,7.2,major_hub,"['textiles', 'tea', 'agricultural', 'consumer_goods', 'transshipment']",high,"['P014', 'P017', 'P002']"
P017,Port of Jebel Ali (Dubai),UAE,ARE,25.0118,55.0694,Middle East,14.5,mega_hub,"['oil', 'consumer_goods', 'electronics', 'machinery', 'food']",critical,"['P018', 'P019', 'P016']"
P018,Port of Salalah,Oman,OMN,16.97,54.0,Middle East,4.4,regional_hub,"['oil', 'transshipment', 'consumer_goods', 'food']",medium,"['P017', 'P019', 'P016']"
P019,Port of Jeddah,Saudi Arabia,SAU,21.5433,39.1728,Middle East,5.7,major_hub,"['oil', 'petrochemicals', 'food', 'machinery', 'consumer_goods']",high,"['P017', 'P020', 'P018']"
P020,Port Said,Egypt,EGY,31.2565,32.2841,Middle East,4.6,major_hub,"['transshipment', 'consumer_goods', 'food', 'chemicals']",critical,"['P021', 'P019', 'P033']"
P021,Port of Rotterdam,Netherlands,NLD,51.9244,4.4777,Northern Europe,15.3,mega_hub,"['oil', 'chemicals', 'machinery', 'consumer_goods', 'agricultural', 'electronics']",critical,"['P022', 'P023', 'P024']"
P022,Port of Antwerp-Bruges,Belgium,BEL,51.2993,4.3615,Northern Europe,12.0,mega_hub,"['chemicals', 'consumer_goods', 'machinery', 'agricultural', 'electronics']",critical,"['P021', 'P023', 'P024']"
P023,Port of Hamburg,Germany,DEU,53.5753,9.9835,Northern Europe,8.7,major_hub,"['machinery', 'automobiles', 'chemicals', 'consumer_goods', 'electronics']",high,"['P021', 'P022', 'P024']"
P024,Port of Felixstowe,UK,GBR,51.96,1.35,Northern Europe,4.1,major_hub,"['consumer_goods', 'electronics', 'machinery', 'agricultural', 'chemicals']",high,"['P025', 'P021', 'P022']"
P025,Port of Southampton,UK,GBR,50.9097,-1.4044,Northern Europe,2.1,regional_hub,"['consumer_goods', 'automobiles', 'machinery']",medium,"['P024', 'P021', 'P022']"
P026,Port of Barcelona,Spain,ESP,41.3809,2.1228,Southern Europe,3.6,major_hub,"['automobiles', 'consumer_goods', 'chemicals', 'agricultural', 'textiles']",high,"['P027', 'P028', 'P021']"
P027,Port of Valencia,Spain,ESP,39.4561,-0.3188,Southern Europe,5.7,major_hub,"['agricultural', 'automobiles', 'consumer_goods', 'chemicals']",high,"['P026', 'P028', 'P021']"
P028,Port of Genoa,Italy,ITA,44.4056,8.9463,Southern Europe,2.6,regional_hub,"['consumer_goods', 'machinery', 'chemicals', 'agricultural']",medium,"['P026', 'P027', 'P021']"
P029,Port of Los Angeles,USA,USA,33.7295,-118.262,North America West,10.7,mega_hub,"['consumer_goods', 'electronics', 'machinery', 'agricultural', 'automobiles']",critical,"['P030', 'P031', 'P032']"
P030,Port of Long Beach,USA,USA,33.7543,-118.2139,North America West,9.1,mega_hub,"['consumer_goods', 'electronics', 'machinery', 'agricultural']",critical,"['P029', 'P031', 'P032']"
